shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4__5____1__IT_1,40.4087190784647,-3.71045631143542,19000245,1104.69678856827
4__5____1__IT_1,40.4087111095651,-3.71046282636622,19000246,1105.09405629028
4__5____1__IT_1,40.4087032332538,-3.71046922794933,19000247,1105.49235330624
4__5____1__IT_1,40.4086952636365,-3.71047585954648,19000248,1105.89169877251
4__5____1__IT_1,40.4086875682181,-3.71048214517341,19000249,1106.29205128697
4__5____1__IT_1,40.4086642068824,-3.71050134446923,19000250,1106.69546624652
4__5____1__IT_1,40.4086563280649,-3.71050786033686,19000251,1107.09991588575
4__5____1__IT_1,40.408648541119,-3.71051437952627,19000252,1107.50539175109
4__5____1__IT_1,40.4086408457202,-3.71052066160907,19000253,1107.91187450372
4__5____1__IT_1,40.4086329667033,-3.71052706315043,19000254,1108.31938680386
4__5____1__IT_1,40.4085940311176,-3.71055906388211,19000255,1108.73200326897
4__5____1__IT_1,40.4085861548228,-3.71056546190759,19000256,1109.1456488677
4__5____1__IT_1,40.4085705805854,-3.71057826218703,19000257,1109.56133613242
4__5____1__IT_1,40.4085627941759,-3.71058454683389,19000258,1109.97803898369
4__5____1__IT_1,40.408554916078,-3.71059094483452,19000259,1110.39577113764
4__5____1__IT_1,40.4085393436395,-3.71060374512118,19000260,1110.8155447891
4__5____1__IT_1,40.4085314655406,-3.71061014311738,19000261,1111.23634774324
4__5____1__IT_1,40.4085236793059,-3.710616545614,19000262,1111.65817155391
4__5____1__IT_1,40.4085158911144,-3.71062282669774,19000263,1112.08101096098
4__5____1__IT_1,40.4085080148016,-3.71062922706541,19000264,1112.50487960855
4__5____1__IT_1,40.4084924405717,-3.71064202495857,19000265,1112.93078981437
4__5____1__IT_1,40.4084845649749,-3.71064830865279,19000266,1113.3577240036
4__5____1__IT_1,40.4084767760573,-3.71065470757675,19000267,1113.78567914046
4__5____1__IT_1,40.4084688997428,-3.71066110793705,19000268,1114.21466351783
4__5____1__IT_1,40.4084611142442,-3.71066739021752,19000269,1114.64466329069
4__5____1__IT_1,40.408453326212,-3.71067379150351,19000270,1115.07568403467
4__5____1__IT_1,40.4084454499108,-3.71068018950243,19000271,1115.50773391227
4__5____1__IT_1,40.4084376617159,-3.71068647057165,19000272,1115.94079938628
4__5____1__IT_1,40.4084297853924,-3.71069287210304,19000273,1116.37489415424
4__5____1__IT_1,40.4084219998993,-3.71069915319778,19000274,1116.81000426451
4__5____1__IT_1,40.4084141217806,-3.71070555352882,19000275,1117.24614378434
4__5____1__IT_1,40.4084063355624,-3.71071195246801,19000276,1117.68330399904
4__5____1__IT_1,40.4083984572811,-3.71071823258231,19000277,1118.12148829384
4__5____1__IT_1,40.4083906710405,-3.710724635054,19000278,1118.56069344516
4__5____1__IT_1,40.4083828855457,-3.71073091614148,19000279,1119.0009139388
4__5____1__IT_1,40.4083750081424,-3.71073719979631,19000280,1119.44215858578
4__5____1__IT_1,40.4083671318451,-3.71074359660204,19000281,1119.88443231295
4__5____1__IT_1,40.4083593445403,-3.71074987884469,19000282,1120.327721605
4__5____1__IT_1,40.4083514682205,-3.71075627918289,19000283,1120.77204013755
4__5____1__IT_1,40.4083437719079,-3.71076256120135,19000284,1121.2173656418
4__5____1__IT_1,40.4083358945029,-3.71076884484889,19000285,1121.66371529939
4__5____1__IT_1,40.4083279281119,-3.71077524187802,19000286,1122.1111025571
4__5____1__IT_1,40.4083202308974,-3.71078152388268,19000287,1122.55949687092
4__5____1__IT_1,40.408312355293,-3.7107878075448,19000288,1123.00891516817
4__5____1__IT_1,40.4083043861984,-3.71079420454106,19000289,1123.45937131996
4__5____1__IT_1,40.4082966907701,-3.71080048891729,19000290,1123.91083446631
4__5____1__IT_1,40.4082888151865,-3.71080676903962,19000291,1124.36332143784
4__5____1__IT_1,40.4082808469916,-3.71081316604091,19000292,1124.8168461791
